,name,price,address,url,Hãng xe,Năm đăng ký,Tình trạng,Loại xe máy,Dung tích xe máy,Xuất xứ,Màu xe,Dòng xe,Số km đã đi
350,"Bán xe Luvias 125cc 2013, BSTP chính chủ, máy êm, lap không hú",10000000,"Huyện Nhà Bè, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-luvias-125cc-2013-bstp-chinh-chu-may-em-lap-khong-hu-id68670308,Yamaha,-,Đã sử dụng,Tay ga,-,-,-,Luvias,0
351,"Em tìm mua xe Dreeam VN của chính chủ đang sử dụng,",0,"Quận Cầu Giấy, Hà Nội",https://muaban.net/xe-may/mua-xe-may/em-tim-mua-xe-dreeam-vn-cua-chinh-chu-dang-su-dung-id68821551,-,-,-,-,-,-,-,-,0
352,"Chính chủ bán Xe Winner X, 1 đời chính chủ 2020",29000000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/chinh-chu-ban-xe-winner-x-1-doi-chinh-chu-2020-id68817832,Honda,2020.0,Đã sử dụng,Tay côn/Moto,-,-,Ghi/Xám,Winner X,0
353,Piaggio Liberty 125 ie Phun Xăng Điện Tử Biển Hà Nội 5 số,8500000,"Quận Cầu Giấy, Hà Nội",https://muaban.net/xe-may/ban-xe-may/piaggio-liberty-125-ie-phun-xang-dien-tu-bien-ha-noi-5-so-id68823381,Piaggio,2014.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Xanh dương,Liberty,0-3.8km
354,Bán xe SH150 Ý 2007 biển vip đẹp leng keng,60000000,"TP. Thủ Đức - Quận Thủ Đức, TP.HCM",https://muaban.net/xe-may/ban-xe-may/sh150-y-2007-bien-vip-dep-leng-keng-id68764173,Honda,2010.0,Đã sử dụng,Tay ga,101 - 175 cc,Nước khác,Đỏ,SHi,0
355,CHÍNH CHỦ Bán SH125i 2020 ABS odo13000(1v3),72000000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/chinh-chu-ban-sh125i-2020-abs-odo13000-1v3-id68823878,Honda,2020.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,-,SH,0-13km
356,Xe NVX 125 đời 2018 hãng Yamaha ,20500000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/xe-nvx-125-doi-2018-hang-yamaha-id68795645,Yamaha,2018.0,Đã sử dụng,Tay ga,101 - 175 cc,Nhật Bản,Ghi/Xám,NVX,0-35.87km
357,Xe wave RSX 110 hãng Honda bán ,6900000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/xe-wave-rsx-110-hang-honda-ban-id68794163,Honda,2010.0,Đã sử dụng,Xe số,101 - 175 cc,Nhật Bản,Xanh da trời,Wave,0-8.75km
358,Bán xe Dream Thái 1994 tem hồng,80000000,"Quận 7, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-dream-thai-1994-tem-hong-id68832006,Honda,-,Đã sử dụng,Xe số,50 - 100 cc,Thái Lan,Nâu,Dream,0
359,"Hàng về AirBlade Fi 2019 xanh Smartkey, biển số thành phố ",30800000,"Quận 11, TP.HCM",https://muaban.net/xe-may/ban-xe-may/hang-ve-airblade-fi-2019-xanh-smartkey-bien-so-thanh-pho-id68833633,Honda,-,Đã sử dụng,Tay ga,-,-,-,-,0
360,Xe Shark 125 -  Giống SH - Mạnh mẽ,6200000,"Quận Tân Phú, TP.HCM",https://muaban.net/xe-may/ban-xe-may/xe-shark-125-giong-sh-manh-me-id68826448,SYM,2010.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Nâu,Shark,0-73km
361,Cần bán xe AB mới 100%( mới mua 8 tháng),35000000,"Huyện Đức Hoà, Long An",https://muaban.net/xe-may/ban-xe-may/can-ban-xe-ab-moi-100-moi-mua-8-thang-id68826796,Honda,2022.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Xanh dương,Air Blade,0
362,"Vario màu đỏ cần ra đi nhanh,xe đẹp",35500000,"Quận Gò Vấp, TP.HCM",https://muaban.net/xe-may/ban-xe-may/vario-mau-do-can-ra-di-nhanh-xe-dep-id68822290,Honda,2019.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đỏ,Vario,0-21km
363,Bán trả góp Exciter 150 2019 trả trước 11tr lấy xe,28000000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-tra-gop-exciter-150-2019-tra-truoc-11tr-lay-xe-id68823065,Yamaha,2019.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,-,Xanh đen,Exciter,0-25km
364,Mình Pass lại chiếc VISON đăng ký lần đầu 2017. Xe tại Hà nội.,22500000,"Quận Hai Bà Trưng, Hà Nội",https://muaban.net/xe-may/ban-xe-may/minh-pass-lai-chiec-vison-dang-ky-lan-dau-2017-xe-tai-ha-noi-id68808278,Honda,2017.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đỏ,Vision,0
365,"Bán xe Novou 6 đời 2014, màu đỏ đen chưa bung",13500000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-novou-6-doi-2014-mau-do-den-chua-bung-id68824727,Yamaha,-,Đã sử dụng,Tay ga,-,-,-,Nouvo,0
366,"Bán xe Wave S 110 đời 2010, màu đen và Wave Alpha lốc đen, đời 2002",8500000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-wave-s-110-doi-2010-mau-den-va-wave-alpha-loc-den-doi-2002-id68824750,Honda,-,Đã sử dụng,Xe số,-,-,-,Wave,0
367,Bán xe Lead màu nâu 2012 và đời 2008 màu đen,11000000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-lead-mau-nau-2012-va-doi-2008-mau-den-id68824695,Honda,-,Đã sử dụng,Tay ga,-,-,-,Lead,0
368,Bán xe Wave liên doanh kèn đèn đề đầy đủ,3700000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-wave-lien-doanh-ken-den-de-day-du-id68824246,Honda,-,Đã sử dụng,Xe số,-,-,-,Wave,0
369,Bán vespa Sprint 3vie trắng sprot,37000000,"Quận Cầu Giấy, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-vespa-sprint-3vie-trang-sprot-id68822391,Piaggio,2017.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Trắng,Vespa,0-14km
370,"Bán xe Vision đời 2014, màu đỏ, máy khỏe, chưa bung",15500000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-vision-doi-2014-mau-do-may-khoe-chua-bung-id68824722,Honda,-,Đã sử dụng,Tay ga,-,-,-,Vision,0
371,Xe ẽcter đk 2018 mới 99% máy zin ,18500000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/xe-ecter-dk-2018-moi-99-may-zin-id68696709,Yamaha,2018.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,-,-,Exciter,0-5km
372,"Bán xe máy Wave RSX 2011 đã qua sử dụng, chính chủ bán lại giá rẻ",8500000,"Quận 7, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-may-wave-rsx-2011-da-qua-su-dung-chinh-chu-ban-lai-gia-re-id68825993,Honda,2010.0,Đã sử dụng,Xe số,101 - 175 cc,Nhật Bản,Đen,Wave,0
373,"Xe Cup Nhật Bản đã độ cực đáng yêu, giá chỉ 4,8 triệu",4800000,"Quận Tây Hồ, Hà Nội",https://muaban.net/xe-may/ban-xe-may/xe-cup-nhat-ban-da-do-cuc-dang-yeu-gia-chi-4-8-trieu-id68820001,Honda,-,Đã sử dụng,Xe số,-,-,-,Cub các loại,0
374,Honda Wave Rs 100 Đời Chót Bản Repsol Siêu Mới,8500000,"Quận Cầu Giấy, Hà Nội",https://muaban.net/xe-may/ban-xe-may/honda-wave-rs-100-doi-chot-ban-repsol-sieu-moi-id68821346,Honda,2013.0,Đã sử dụng,Xe số,101 - 175 cc,Việt nam,Cam,Wave,0-6.8km
375,Vision trắng smartkey 2019 bstp,29500000,"Quận 8, TP.HCM",https://muaban.net/xe-may/ban-xe-may/vision-trang-smartkey-2019-bstp-id68821840,Honda,2019.0,Đã sử dụng,Tay ga,-,Việt nam,Trắng,Vision,0-8km
376,"Nhà bán xe Zip màu trắng, chính chủ, đăng ký 2021, 9,8 triệu",9800000,"Quận Tây Hồ, Hà Nội",https://muaban.net/xe-may/ban-xe-may/nha-ban-xe-zip-mau-trang-chinh-chu-dang-ky-2021-9-8-trieu-id68819996,Piaggio,-,Đã sử dụng,Xe số,50 - 100 cc,-,Trắng,Zip,0
377,"Bán xe Jupiter đời 2003, màu xanh, Máy khỏe zin nguyên thủy",6000000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-jupiter-doi-2003-mau-xanh-may-khoe-zin-nguyen-thuy-id68824754,Yamaha,-,Đã sử dụng,Xe số,-,-,-,Jupiter,0
378,Bán honda Pcx Fi 2011 đi cực ít,23000000,"Quận Hai Bà Trưng, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-honda-pcx-fi-2011-di-cuc-it-id68820360,Honda,2011.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đen,PCX,0-24km
379,Sh mode abs thể thao xám xi măng 2022,67000000,"Quận 8, TP.HCM",https://muaban.net/xe-may/ban-xe-may/sh-mode-abs-the-thao-xam-xi-mang-2022-id68821836,Honda,2022.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Ghi/Xám,SH Mode,0-5km
380,Lead 125 xanh đèn led smartey 2020,32500000,"Quận 8, TP.HCM",https://muaban.net/xe-may/ban-xe-may/lead-125-xanh-den-led-smartey-2020-id68821830,Honda,2020.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Xanh dương,Lead,0-7km
381,Airblade 125 đen xám smartkey 2019,31000000,"Quận 8, TP.HCM",https://muaban.net/xe-may/ban-xe-may/airblade-125-den-xam-smartkey-2019-id68821850,Honda,2019.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đen,Air Blade,0-9km
382,Bán xe Lead đỏ nữ 2011 12 triệu,12000000,"Quận Tân Phú, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-lead-do-nu-2011-12-trieu-id68821952,Honda,2011.0,Đã sử dụng,Tay ga,101 - 175 cc,-,Đỏ,Lead,0
383,Xe winer x Abs đk 2021 mới 99% ,22500000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/xe-winer-x-abs-dk-2021-moi-99-id68696660,Yamaha,2021.0,Mới,Tay côn/Moto,101 - 175 cc,-,Ghi/Xám,-,0
384,Xe ẽcter 135 đk 2014 biển Hà Nội ,12800000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/xe-ecter-135-dk-2014-bien-ha-noi-id68698171,Yamaha,2014.0,Đã sử dụng,Tay côn/Moto,-,-,Xanh dương,Exciter,0-1km
385,Xe ẽcter đk 2018 biển Hà Nội máy zin,20800000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/xe-ecter-dk-2018-bien-ha-noi-may-zin-id68696721,Yamaha,2018.0,Đã sử dụng,Tay côn/Moto,-,-,Đen,Exciter,0-8km
386,Airblade chính chủ zin nguyên bản,14000000,"Quận Hai Bà Trưng, Hà Nội",https://muaban.net/xe-may/ban-xe-may/airblade-chinh-chu-zin-nguyen-ban-id68831000,Honda,2008.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Xanh đen,Air Blade,0-47km
387,Xe ẽcter 150 2018-2021 mới 99%,20800000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/xe-ecter-150-2018-2021-moi-99-id68696636,Yamaha,-,Đã sử dụng,Tay côn/Moto,101 - 175 cc,-,Đen,Exciter,0-5km
388,"Bán xe máy @ màu bạc, hoàn toàn nguyên bản",12800000,"Quận Hai Bà Trưng, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-xe-may-mau-bac-hoan-toan-nguyen-ban-id68819021,Honda,-,Đã sử dụng,Tay ga,101 - 175 cc,Nhật Bản,Bạc,@,0-38.902km
389,Exiter biển Quảng Nam tứ quý 2,28000000,"Quận Hải Châu, Đà Nẵng",https://muaban.net/xe-may/ban-xe-may/exiter-bien-quang-nam-tu-quy-2-id68821879,Yamaha,2015.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Nhật Bản,Đen,Exciter,0-90km
390,Xe ẽcter đk 2018 mới 99% máy zin ,18500000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/xe-ecter-dk-2018-moi-99-may-zin-id68696610,Yamaha,2018.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Việt nam,Xanh lá,-,0-1km
391,"Bán xe Honda CG 125cc ,màu ₫ỏ , xe đag sd , máy nổ êm . Nguyên bản",13700000,"Quận Cầu Giấy, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-xe-honda-cg-125cc-mau-o-xe-dag-sd-may-no-em-nguyen-ban-id68817820,Honda,-,Đã sử dụng,Xe số,Khác,Nhật Bản,Đỏ,Honda khác,0-10.000.000km
392,Piaggio FLY 2012.phun xăng điện tư. Khóa từ. Có cản inox.cốp siêu rộng,7000000,"Quận Tân Bình, TP.HCM",https://muaban.net/xe-may/ban-xe-may/piaggio-fly-2012-phun-xang-dien-tu-khoa-tu-co-can-inox-cop-sieu-rong-id68819145,Piaggio,2012.0,Đã sử dụng,Tay ga,101 - 175 cc,Nước khác,Nâu,Fly,0-20km
393,"Chuyên cho thuê xe tay gas ,bình thạnh ,Nouvo - Lead",160000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/cho-thue-xe-may/chuyen-cho-thue-xe-tay-gas-binh-thanh-nouvo-lead-id68818009,-,-,-,-,-,-,-,-,0
394,Bán nhanh xe SH mới biển số đẹp,200000000,"Quận 7, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-nhanh-xe-sh-moi-bien-so-dep-id68819243,Honda,2019.0,Đã sử dụng,Tay ga,-,Việt nam,Trắng,SH,0
395,Cần bán Novo 4 xe nhà dư dùng cần thanh lý xe đẹp ...,7600000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-ban-novo-4-xe-nha-du-dung-can-thanh-ly-xe-dep-id68807387,Yamaha,-,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Hoàng kim,Nouvo,0
396,Em cần bán xe  NOZZA Fi màu Trắng Tphcm,0,"Quận Phú Nhuận, TP.HCM",https://muaban.net/xe-may/mua-xe-may/em-can-ban-xe-nozza-fi-mau-trang-tphcm-id68735593,-,-,-,-,-,-,-,-,0
397,"Cần bán xe Honda Spacy Việt Nam 100c màu trắng, biển 29U1 Hà Nội",3600000,"Quận Hai Bà Trưng, Hà Nội",https://muaban.net/xe-may/ban-xe-may/can-ban-xe-honda-spacy-viet-nam-100c-mau-trang-bien-29u1-ha-noi-id68828288,Honda,-,Đã sử dụng,Tay ga,-,-,-,-,0
398,Bán trả góp Vision 2019 trả trước 11tr5 lấy xe ngay,28500000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-tra-gop-vision-2019-tra-truoc-11tr5-lay-xe-ngay-id68818091,Honda,2019.0,Đã sử dụng,Tay ga,101 - 175 cc,-,Đen,Vision,0-20km
399,Cần tiền Bán gấp chiếc xe AB đời 2013,15500000,"Huyện Bình Chánh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-tien-ban-gap-chiec-xe-ab-doi-2013-id68825868,Honda,2013.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đen,Air Blade,0
400,Cần bán gấp xe SYM ATTILA125  ,3250000,"Quận 3, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-ban-gap-xe-sym-attila125-id68826315,SYM,-,Đã sử dụng,Tay ga,-,-,-,-,0
401,"Bán lead honda 110./11.xám / 8,9Tr.",8900000,"TP. Nha Trang, Khánh Hòa",https://muaban.net/xe-may/ban-xe-may/ban-lead-honda-110-11-xam-8-9tr-id68822501,Honda,2011.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Bạc,-,0
402,"Xe Blade 2021 màu xanh, còn zin",14500000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/xe-blade-2021-mau-xanh-con-zin-id68816450,Honda,-,Đã sử dụng,Xe số,-,-,-,-,0
403,Sh350i xám xi măng đời 2021 siêu lướt,116000000,"Quận 7, TP.HCM",https://muaban.net/xe-may/ban-xe-may/sh350i-xam-xi-mang-doi-2021-sieu-luot-id68815518,Honda,2021.0,Đã sử dụng,Tay ga,Trên 175 cc,Việt nam,Ghi/Xám,SHi,0-2km
404,Bán trả góp Future fi 2011 trả trước 6tr5 lấy xe ngay,16500000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-tra-gop-future-fi-2011-tra-truoc-6tr5-lay-xe-ngay-id68815289,Honda,2011.0,Đã sử dụng,Xe số,101 - 175 cc,-,Đỏ,Future,0-20km
405,"Bán xe Honda Wave S 110, màu đỏ, đời 2010",8500000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-honda-wave-s-110-mau-do-doi-2010-id68808607,Honda,2010.0,Đã sử dụng,Xe số,-,-,-,Wave,0
406,Xe tay ga honda vision biển số tp ngay chủ đứng tên ,25800000,"Quận Tân Phú, TP.HCM",https://muaban.net/xe-may/ban-xe-may/xe-tay-ga-honda-vision-bien-so-tp-ngay-chu-dung-ten-id68825931,Honda,2018.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đen,Vision,0-15km
407,SH 150 - 2016 bất chấp đối thủ cùng NSX.,63500000,"Quận Ba Đình, Hà Nội",https://muaban.net/xe-may/ban-xe-may/sh-150-2016-bat-chap-doi-thu-cung-nsx-id68824786,Honda,-,Đã sử dụng,Tay ga,-,-,Xanh lá,SH,0
408,CHÍNH CHỦ BÁN LIBERTY MÁY CÒN ÊM RU BSTP,11800000,"Quận Gò Vấp, TP.HCM",https://muaban.net/xe-may/ban-xe-may/chinh-chu-ban-liberty-may-con-em-ru-bstp-id68824103,Piaggio,2014.0,Đã sử dụng,Tay ga,-,-,-,Liberty,0
409,Dư xe mình thanh lý Honda Doi SR 2 thì máy đứng,15000000,"Quận Tân Bình, TP.HCM",https://muaban.net/xe-may/cho-thue-xe-may/du-xe-minh-thanh-ly-honda-doi-sr-2-thi-may-dung-id68819365,-,-,-,-,-,-,-,-,0
410,CD 125 hàng chính hãng mới nguyên rin,25000000,"Quận Long Biên, Hà Nội",https://muaban.net/xe-may/ban-xe-may/cd-125-hang-chinh-hang-moi-nguyen-rin-id68818371,Honda,2022.0,Mới,Xe số,101 - 175 cc,Thái Lan,Đen,Honda khác,0
411,Dream thái hàng nhập mới nguyên rin,15000000,"Quận Cầu Giấy, Hà Nội",https://muaban.net/xe-may/ban-xe-may/dream-thai-hang-nhap-moi-nguyen-rin-id68818366,Honda,2022.0,Mới,Xe số,50 - 100 cc,Thái Lan,-,Dream,0
412,Click thái 125- xe chính chủ đăng ký 2022,64800000,"Quận 3, TP.HCM",https://muaban.net/xe-may/ban-xe-may/click-thai-125-xe-chinh-chu-dang-ky-2022-id68824635,Honda,2022.0,Đã sử dụng,Tay ga,101 - 175 cc,Thái Lan,Đen,Click,0-3km
413,Sh ý 150cc còn chất xe zin  Bs 4 số Tphcm  ,65000000,"Quận Phú Nhuận, TP.HCM",https://muaban.net/xe-may/phu-tung-xe-may/sh-y-150cc-con-chat-xe-zin-bs-4-so-tphcm-id68663840,-,-,-,-,-,-,-,-,0
414,Honda  Ps 150cc nhập ý  -Biển số t.phố ,35000000,"Quận Phú Nhuận, TP.HCM",https://muaban.net/xe-may/ban-xe-may/honda-ps-150cc-nhap-y-bien-so-t-pho-id68755374,Honda,2007.0,Đã sử dụng,Tay ga,101 - 175 cc,Nhật Bản,Đen,PS,0-32.564km
415,Bán xe SH 150 mầu đen chính chủ,90000000,"Thị Xã Sơn Tây, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-xe-sh-150-mau-den-chinh-chu-id68824515,Honda,2022.0,Đã sử dụng,Tay ga,101 - 175 cc,Nhật Bản,Đen,SH,0-5km
416,Bán xe  Exiter 150 chính chủ..,22000000,"Quận 12, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-exiter-150-chinh-chu-id68818068,Yamaha,2017.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Việt nam,Đen,Exciter,0
417,Bán trả góp Exciter 150 trả trước 10tr lấy xe ngay,25500000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-tra-gop-exciter-150-tra-truoc-10tr-lay-xe-ngay-id68813571,Yamaha,2018.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,-,Xanh ngọc,Exciter,0-20km
418,"(Còn TL) Xe Honda DH88/84cc, có giấy tờ, biển Đồng Nai.",8500000,"Quận Gò Vấp, TP.HCM",https://muaban.net/xe-may/ban-xe-may/con-tl-xe-honda-dh88-84cc-co-giay-to-bien-dong-nai-id68823750,Honda,-,Đã sử dụng,Xe số,50 - 100 cc,Hàn Quốc,Xanh dương,Cub các loại,0
419,"Bán xe máy Honda Lead, màu bạc, biển 4 số 30F - 270. giá 10,3 triệu",10300000,"Quận Hoàn Kiếm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-xe-may-honda-lead-mau-ba-c-bien-4-so-30f-270-gia-10-3-trie-u-id68816891,Honda,-,Đã sử dụng,Tay ga,-,-,Bạc,Lead,0
420,"Bán xe honda rebel 250 chính chủ, màu đen, hải quan chính ngạch",215000000,"Quận Cầu Giấy, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-xe-honda-rebel-250-chinh-chu-mau-den-hai-quan-chinh-ngach-id68355929,Honda,2011.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Mỹ,Đen,Rebel,0-25.000.000km
421,"Vision 110 Fi phiên bản đặc biệt, 2022, biển Hà Nội ",31800000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/vision-110-fi-phien-ban-dac-biet-2022-bien-ha-noi-id68812855,Honda,2022.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đen,Vision,0
422,"Bán xe Novuo 5 đời 2012, phun xăng điện tử, biến số TP",9900000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-novuo-5-doi-2012-phun-xang-dien-tu-bien-so-tp-id68814923,Yamaha,-,Đã sử dụng,Tay ga,-,-,-,Nouvo,0
423,Bán xe led 125 màu Kem xe chính chủ. Nguyên bản 1 chủ từ khi mua,29900000,"Quận Hoàng Mai, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-xe-led-125-mau-kem-xe-chinh-chu-nguyen-ban-1-chu-tu-khi-mua-id68817636,Honda,2014.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Vàng,Lead,0-7.100.000km
424,Honda Lead Bản Đặc Biệt 2019 ( Xanh Nâu ),33000000,"Quận 11, TP.HCM",https://muaban.net/xe-may/ban-xe-may/honda-lead-ban-dac-biet-2019-xanh-nau-id68811253,Honda,-,Đã sử dụng,Tay ga,101 - 175 cc,-,Xanh đen,Lead,0
425,"Cho thuê xe mô tô Majety có số lùi, phân khối lớn",300000,"Huyện Bình Chánh, TP.HCM",https://muaban.net/xe-may/cho-thue-xe-may/cho-thue-xe-mo-to-majety-co-so-lui-phan-khoi-lon-id68809107,-,-,-,-,-,-,-,-,0
426,"@Bán Yamaha Grande đen nhám carbon, mới tinh.",26000000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-yamaha-grande-den-nham-carbon-moi-tinh-id68798060,Yamaha,2018.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đen,Grande,0-30km
427,Bán trả góp Click 2011 trả trước 5tr5 lấy xe,13500000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-tra-gop-click-2011-tra-truoc-5tr5-lay-xe-id68810082,Honda,2011.0,Đã sử dụng,Tay ga,101 - 175 cc,-,Đỏ,Click,0-30km
428,"Dream lùn Thái zin, bền, ít hao xăng ",80000000,"Quận Tân Bình, TP.HCM",https://muaban.net/xe-may/ban-xe-may/dream-lun-thai-zin-ben-it-hao-xang-id68805018,Honda,-,Đã sử dụng,Xe số,50 - 100 cc,Thái Lan,Đen,Dream,0-50km
429,Xe zin còn mới ae quan tâm liên hệ,29000000,"Quận Sơn Trà, Đà Nẵng",https://muaban.net/xe-may/ban-xe-may/xe-zin-con-moi-ae-quan-tam-lien-he-id68800671,Suzuki,-,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Việt nam,Đỏ,Raider,0-2.2km
430,"Bán sirius 50cc cho học sinh,sinh viên chưa có bằng lái xe",7500000,"Quận Bình Tân, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-sirius-50cc-cho-hoc-sinh-sinh-vien-chua-co-bang-lai-xe-id68745130,Yamaha,2011.0,Đã sử dụng,Xe số,50 - 100 cc,Hàn Quốc,Đỏ,Sirius,0-9.999km
431,Có Fix - Bán Xe SH150 ABS đời 2020 siêu lướt,90000000,"Quận 7, TP.HCM",https://muaban.net/xe-may/ban-xe-may/co-fix-ban-xe-sh150-abs-doi-2020-sieu-luot-id68793100,Honda,2020.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,-,SH,0-7.7km
432,"Bán honda wave 110cc màu xanh dương ,xe đẹp máy zin",8500000,"Quận Bình Tân, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-honda-wave-110cc-mau-xanh-duong-xe-dep-may-zin-id68745127,Honda,2009.0,Đã sử dụng,Xe số,101 - 175 cc,Nhật Bản,Xanh dương,Wave,0-9.999km
433,"Ban xe custom Honda 90 , xin tren 80% du dung can ban ",18500000,"TP. Thủ Đức - Quận 2, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-custom-honda-90-xin-tren-80-du-dung-can-ban-id68806168,Honda,-,Đã sử dụng,Tay ga,50 - 100 cc,Nhật Bản,-,Cub các loại,0-123.156km
434,Xe biển số thành phố cần bán nhanh gọn,19000000,"Quận Bình Tân, TP.HCM",https://muaban.net/xe-may/ban-xe-may/xe-bien-so-thanh-pho-can-ban-nhanh-gon-id68818067,Yamaha,2017.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,-,Đen,Exciter,0-40km
435,Xe nữ đi ít sủ dụng cần bán lại,230000000,"Quận 6, TP.HCM",https://muaban.net/xe-may/ban-xe-may/xe-nu-di-it-su-dung-can-ban-lai-id68810599,Honda,2012.0,Đã sử dụng,Tay ga,101 - 175 cc,Nhật Bản,Trắng,SH,0-12km
436,Bán trả góp Air Blade 2008 trả trước 5tr5 lấy xe,13500000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-tra-gop-air-blade-2008-tra-truoc-5tr5-lay-xe-id68809129,Honda,2008.0,Đã sử dụng,Tay ga,101 - 175 cc,-,Đen,Air Blade,0-30km
437,Sh150i hàng việt chính hãng nguyên rin,25000000,"Quận Hoàng Mai, Hà Nội",https://muaban.net/xe-may/ban-xe-may/sh150i-hang-viet-chinh-hang-nguyen-rin-id68818368,Honda,2022.0,Mới,Tay ga,101 - 175 cc,Việt nam,Đỏ,SHi,0
